TransactionDate,CustomerAgeBucket,State,CustomerGender,CustomerIncomeGroup,MarketChannel,ProductCategory,ProductSubCategory,ProductBrand,ProductName,UnitCost,ProductCost,NumberOfUnits,DiscountRate,TotalCost,ShippingCost,Profit,PaymentMethod,DeliveryTime
2022-04-01,26-35,PA,Male,High,Email,Beauty,Skincare,Neutrogena,Oil-Free Acne Wash,16.0,15.0,3.0,18.0,48.0,8.0,-4.0,Credit Card,4.0
2022-04-01,36-45,TX,Male,Low,Others,Electronics,Smartphones,Samsung,Galaxy S21,662.0,500.0,1.0,9.0,662.0,9.0,153.0,Credit Card,3.0
2022-04-01,66+,NY,Female,Low,Organic,Electronics,Smartphones,Samsung,Galaxy Z Fold 5,1631.0,1500.0,1.0,12.0,1631.0,12.0,119.0,Debit Card,3.0
2022-04-01,56-65,CA,Male,High,Organic,Beauty,Makeup,Revlon,PhotoReady Concealer,17.0,12.0,6.0,12.0,104.0,5.0,27.0,Debit Card,15.0
2022-04-01,18-25,GA,Male,Middle,App,Home,Furniture,IKEA,Kallax Shelf,79.0,60.0,1.0,2.0,79.0,14.0,5.0,Digital Wallet,6.0
2022-04-01,36-45,NY,Male,Low,Organic,Electronics,Smartphones,Samsung,Galaxy S21,638.0,500.0,3.0,13.0,1913.0,24.0,389.0,BNPL,11.0
2022-04-01,56-65,CA,Male,Middle,Others,Electronics,Laptops,Dell,Inspiron,842.0,600.0,2.0,6.0,1684.0,20.0,464.0,Debit Card,5.0
2022-04-01,18-25,CA,Female,Low,PPC,Clothing,T-Shirts,Adidas,Essentials,37.0,35.0,1.0,15.0,37.0,3.0,-1.0,Credit Card,3.0
2022-04-01,56-65,CA,Male,Middle,Organic,Home,Furniture,IKEA,Kallax Shelf,74.0,60.0,2.0,4.0,148.0,25.0,4.0,Debit Card,5.0
2022-04-01,18-25,CA,Female,Middle,Others,Electronics,Laptops,Apple Laptop,MacBook Pro M2,1413.0,1200.0,2.0,8.0,2826.0,20.0,406.0,Credit Card,4.0
2022-04-01,66+,FL,Male,Middle,Others,Beauty,Skincare,Neutrogena,Hydro Boost Gel,19.0,20.0,3.0,17.0,56.0,7.0,-11.0,Credit Card,5.0
2022-04-01,46-55,CA,Male,High,Affiliates,Home,Beds,Tempur-Pedic,Contour Elite,2135.0,1700.0,2.0,3.0,4270.0,29.0,840.0,Debit Card,4.0
2022-04-01,26-35,PA,Female,Low,Affiliates,Electronics,Laptops,HP,Envy,944.0,700.0,2.0,8.0,1888.0,24.0,464.0,Debit Card,5.0
