TransactionDate,CustomerAgeBucket,State,CustomerGender,CustomerIncomeGroup,MarketChannel,ProductCategory,ProductSubCategory,ProductBrand,ProductName,UnitCost,ProductCost,NumberOfUnits,DiscountRate,TotalCost,ShippingCost,Profit,PaymentMethod,DeliveryTime
2022-07-29,56-65,OH,Male,High,App,Beauty,Makeup,Maybelline,Fit Me Foundation,14.0,15.0,8.0,11.0,113.0,6.0,-13.0,Credit Card,7.0
2022-07-29,26-35,IL,Other,Middle,App,Beauty,Makeup,Maybelline,Lash Sensational Mascara,13.0,10.0,7.0,19.0,92.0,7.0,15.0,Debit Card,6.0
2022-07-29,56-65,PA,Other,Middle,App,Clothing,Jeans,Levis,501 Original,66.0,60.0,4.0,20.0,264.0,9.0,16.0,Debit Card,4.0
2022-07-29,36-45,NC,Other,Middle,App,Beauty,Skincare,Neutrogena,Oil-Free Acne Wash,17.0,15.0,1.0,22.0,17.0,6.0,-3.0,Debit Card,3.0
2022-07-29,66+,NC,Male,Low,PPC,Electronics,Laptops,HP,Pavilion,693.0,600.0,3.0,9.0,2078.0,27.0,251.0,Digital Wallet,6.0
2022-07-29,46-55,PA,Female,Middle,Others,Home,Furniture,IKEA,Kallax Shelf,66.0,60.0,3.0,8.0,198.0,30.0,-12.0,Debit Card,6.0
2022-07-29,66+,FL,Male,Middle,PPC,Home,Beds,Tempur-Pedic,Contour Elite,1834.0,1700.0,1.0,7.0,1834.0,19.0,116.0,Digital Wallet,4.0
2022-07-29,46-55,NC,Female,Middle,Others,Electronics,Laptops,Dell,XPS,1510.0,1300.0,1.0,3.0,1510.0,16.0,194.0,Credit Card,5.0
2022-07-29,56-65,PA,Male,Low,Affiliates,Clothing,T-Shirts,Nike,Sportswear,28.0,25.0,4.0,19.0,113.0,7.0,6.0,Digital Wallet,7.0
2022-07-29,26-35,CA,Other,Middle,Affiliates,Clothing,T-Shirts,Nike,Sportswear,28.0,25.0,4.0,24.0,113.0,4.0,9.0,Credit Card,4.0
2022-07-29,36-45,TX,Male,Middle,Affiliates,Beauty,Makeup,Maybelline,Lash Sensational Mascara,15.0,10.0,6.0,10.0,92.0,4.0,28.0,Digital Wallet,5.0
2022-07-29,36-45,FL,Other,Middle,App,Home,Furniture,IKEA,Billy Bookcase,152.0,100.0,1.0,3.0,152.0,16.0,36.0,Debit Card,5.0
