TransactionDate,CustomerAgeBucket,State,CustomerGender,CustomerIncomeGroup,MarketChannel,ProductCategory,ProductSubCategory,ProductBrand,ProductName,UnitCost,ProductCost,NumberOfUnits,DiscountRate,TotalCost,ShippingCost,Profit,PaymentMethod,DeliveryTime
2022-01-26,56-65,MI,Other,Low,Email,Clothing,Jeans,Wrangler,Authentics,51.0,30.0,2.0,0.75,102.0,11.0,31.0,Credit Card,3.0
2022-01-26,36-45,GA,Male,High,Organic,Electronics,Smartphones,Samsung,Galaxy Z Fold 5,1879.0,1500.0,1.0,1.08,1879.0,9.0,369.0,Digital Wallet,3.0
2022-01-26,26-35,NY,Female,Middle,App,Clothing,Jeans,Levis,Slim Fit,64.0,50.0,3.0,0.88,192.0,13.0,29.0,Digital Wallet,5.0
2022-01-26,18-25,PA,Female,Low,Affiliates,Clothing,Jeans,Levis,501 Original,83.0,60.0,1.0,1.75,83.0,8.0,15.0,Debit Card,3.0
2022-01-26,46-55,NY,Other,Low,Others,Clothing,T-Shirts,Nike,Sportswear,45.0,25.0,2.0,1.28,90.0,11.0,29.0,BNPL,5.0
2022-01-26,56-65,PA,Other,Low,PPC,Clothing,Jeans,Wrangler,Regular Fit,65.0,35.0,1.0,0.99,65.0,8.0,22.0,Credit Card,3.0
2022-01-26,56-65,NC,Male,Middle,PPC,Clothing,T-Shirts,Nike,Sportswear,39.0,25.0,2.0,0.71,79.0,12.0,17.0,Digital Wallet,6.0
2022-01-26,36-45,MI,Male,Middle,Affiliates,Electronics,Smartphones,Apple,iPhone 15,1077.0,800.0,2.0,1.84,2154.0,18.0,536.0,Credit Card,6.0
2022-01-26,36-45,NY,Other,Middle,App,Clothing,T-Shirts,Nike,Sportswear,36.0,25.0,2.0,1.81,73.0,11.0,12.0,Credit Card,5.0
2022-01-26,26-35,NC,Other,Middle,Organic,Clothing,T-Shirts,Nike,Dry-FIT,25.0,20.0,1.0,1.63,25.0,11.0,-6.0,Credit Card,4.0
2022-01-26,18-25,NY,Female,High,Affiliates,Electronics,Laptops,Apple Laptop,MacBook Pro M2,1361.0,1200.0,2.0,0.63,2721.0,24.0,297.0,Digital Wallet,5.0
2022-01-26,56-65,TX,Male,Middle,App,Clothing,T-Shirts,Adidas,Performance,79.0,45.0,2.0,1.31,159.0,8.0,61.0,Digital Wallet,3.0
2022-01-26,66+,OH,Male,Middle,Organic,Home,Furniture,IKEA,Billy Bookcase,161.0,100.0,2.0,0.67,322.0,26.0,97.0,Credit Card,6.0
