TransactionDate,CustomerAgeBucket,State,CustomerGender,CustomerIncomeGroup,MarketChannel,ProductCategory,ProductSubCategory,ProductBrand,ProductName,UnitCost,ProductCost,NumberOfUnits,DiscountRate,TotalCost,ShippingCost,Profit,PaymentMethod,DeliveryTime
2023-05-17,36-45,IL,Female,Middle,App,Home,Furniture,IKEA,Kallax Shelf,70.0,60.0,2.0,0.75,140.0,28.0,-8.0,Debit Card,5.0
2023-05-17,36-45,CA,Male,Middle,PPC,Electronics,Laptops,HP,Envy,1013.0,700.0,1.0,1.96,1013.0,12.0,302.0,Digital Wallet,4.0
2023-05-17,46-55,TX,Other,Middle,Others,Electronics,Laptops,Dell,XPS,1654.0,1300.0,1.0,1.06,1654.0,14.0,340.0,Credit Card,4.0
2023-05-17,26-35,TX,Other,Middle,Email,Beauty,Makeup,Maybelline,Fit Me Foundation,26.0,15.0,1.0,1.63,26.0,6.0,5.0,Credit Card,3.0
2023-05-17,26-35,NY,Female,High,Organic,Clothing,Jeans,Levis,Slim Fit,66.0,50.0,1.0,1.09,66.0,10.0,6.0,Digital Wallet,3.0
2023-05-17,36-45,IL,Female,Middle,App,Beauty,Makeup,Maybelline,Lash Sensational Mascara,17.0,10.0,13.0,0.76,218.0,16.0,72.0,BNPL,12.0
2023-05-17,56-65,OH,Male,High,Email,Clothing,Jeans,Wrangler,Authentics,44.0,30.0,3.0,0.7,131.0,11.0,30.0,Debit Card,5.0
2023-05-17,18-25,NY,Male,Low,Affiliates,Electronics,Laptops,Dell,XPS,1643.0,1300.0,1.0,0.54,1643.0,17.0,326.0,Debit Card,5.0
2023-05-17,56-65,NY,Male,Middle,Others,Electronics,Smartphones,Samsung,Galaxy Z Fold 5,1838.0,1500.0,1.0,1.95,1838.0,14.0,324.0,Debit Card,4.0
2023-05-17,26-35,PA,Other,High,Organic,Clothing,Jeans,Wrangler,Authentics,51.0,30.0,2.0,0.63,102.0,10.0,32.0,Credit Card,4.0
2023-05-17,18-25,NY,Female,Middle,App,Home,Beds,Serta,iComfort,2430.0,1900.0,2.0,0.63,4861.0,33.0,1028.0,Credit Card,7.0
2023-05-17,56-65,TX,Male,Middle,Affiliates,Electronics,Laptops,Apple Laptop,MacBook Air M2,1364.0,1000.0,1.0,0.9,1364.0,14.0,350.0,Credit Card,3.0
2023-05-17,26-35,CA,Male,Middle,Affiliates,Clothing,T-Shirts,Nike,Sportswear,41.0,25.0,4.0,1.25,162.0,9.0,53.0,Credit Card,5.0
2023-05-17,36-45,CA,Male,High,PPC,Beauty,Makeup,Maybelline,Fit Me Foundation,15.0,15.0,6.0,1.58,91.0,7.0,-6.0,Debit Card,5.0
