TransactionDate,CustomerAgeBucket,State,CustomerGender,CustomerIncomeGroup,MarketChannel,ProductCategory,ProductSubCategory,ProductBrand,ProductName,UnitCost,ProductCost,NumberOfUnits,DiscountRate,TotalCost,ShippingCost,Profit,PaymentMethod,DeliveryTime
2023-01-19,26-35,GA,Other,High,Others,Electronics,Smartphones,Apple,iPhone SE,607.0,400.0,3.0,1.82,1821.0,18.0,603.0,Credit Card,5.0
2023-01-19,18-25,PA,Other,High,Email,Electronics,Laptops,Apple Laptop,MacBook Air M2,1345.0,1000.0,2.0,1.6,2690.0,22.0,668.0,BNPL,6.0
2023-01-19,18-25,NY,Other,Middle,Others,Clothing,Jeans,Levis,Slim Fit,52.0,50.0,6.0,1.91,314.0,16.0,-2.0,Debit Card,4.0
2023-01-19,56-65,TX,Other,High,Affiliates,Clothing,Jeans,Levis,501 Original,86.0,60.0,2.0,1.02,171.0,7.0,44.0,Credit Card,4.0
2023-01-19,36-45,FL,Male,Low,Organic,Home,Beds,Tempur-Pedic,Cloud Supreme,2105.0,1800.0,2.0,0.71,4210.0,29.0,581.0,Debit Card,5.0
2023-01-19,66+,IL,Male,High,App,Beauty,Makeup,Maybelline,Fit Me Foundation,22.0,15.0,6.0,1.02,133.0,10.0,33.0,BNPL,7.0
2023-01-19,46-55,CA,Female,High,Others,Beauty,Makeup,Maybelline,Lash Sensational Mascara,15.0,10.0,2.0,1.84,31.0,3.0,8.0,Digital Wallet,3.0
2023-01-19,26-35,PA,Female,High,Organic,Clothing,T-Shirts,Adidas,Performance,65.0,45.0,5.0,0.93,323.0,12.0,87.0,Debit Card,4.0
2023-01-19,46-55,IL,Female,Middle,PPC,Electronics,Smartphones,Apple,iPhone SE,614.0,400.0,2.0,0.85,1227.0,16.0,411.0,Credit Card,4.0
2023-01-19,26-35,NY,Female,Middle,App,Electronics,Smartphones,Samsung,Galaxy S21,684.0,500.0,2.0,1.68,1368.0,17.0,351.0,Credit Card,4.0
2023-01-19,36-45,MI,Other,Middle,PPC,Beauty,Makeup,Maybelline,Fit Me Foundation,18.0,15.0,4.0,0.75,74.0,9.0,5.0,Debit Card,5.0
2023-01-19,56-65,NY,Female,High,Organic,Clothing,T-Shirts,Nike,Sportswear,41.0,25.0,1.0,1.18,41.0,8.0,7.0,Debit Card,4.0
2023-01-19,18-25,PA,Male,Middle,Organic,Electronics,Laptops,Apple Laptop,MacBook Air M2,1266.0,1000.0,1.0,1.9,1266.0,14.0,252.0,Debit Card,4.0
2023-01-19,66+,CA,Male,Middle,Organic,Clothing,Jeans,Wrangler,Authentics,58.0,30.0,2.0,1.27,116.0,5.0,51.0,Debit Card,3.0
2023-01-19,18-25,NY,Male,High,Others,Beauty,Makeup,Revlon,ColorStay Lipstick,21.0,15.0,2.0,0.52,42.0,8.0,4.0,Digital Wallet,6.0
2023-01-19,46-55,MI,Male,High,Affiliates,Electronics,Smartphones,Apple,iPhone 15,1083.0,800.0,1.0,0.92,1083.0,11.0,271.0,Digital Wallet,5.0
2023-01-19,66+,IL,Male,Low,App,Beauty,Makeup,Maybelline,Fit Me Foundation,21.0,15.0,4.0,1.79,85.0,8.0,16.0,Digital Wallet,8.0
2023-01-19,66+,TX,Male,Low,Email,Beauty,Makeup,Maybelline,Lash Sensational Mascara,18.0,10.0,1.0,0.97,18.0,5.0,3.0,Debit Card,4.0
2023-01-19,56-65,MI,Female,Middle,Email,Beauty,Skincare,Neutrogena,Hydro Boost Gel,21.0,20.0,3.0,0.65,64.0,9.0,-4.0,Debit Card,4.0
2023-01-19,66+,CA,Female,Low,App,Clothing,T-Shirts,Nike,Sportswear,40.0,25.0,2.0,1.31,79.0,4.0,25.0,Credit Card,4.0
2023-01-19,18-25,MI,Male,High,Organic,Clothing,T-Shirts,Nike,Pro,55.0,30.0,4.0,1.95,219.0,11.0,88.0,Debit Card,5.0
2023-01-19,66+,TX,Male,Middle,Organic,Home,Beds,Tempur-Pedic,Contour Elite,2085.0,1700.0,1.0,1.79,2085.0,16.0,369.0,Debit Card,5.0
2023-01-19,56-65,OH,Female,Low,Email,Clothing,Jeans,Wrangler,Regular Fit,57.0,35.0,2.0,1.09,115.0,8.0,37.0,Credit Card,4.0
2023-01-19,56-65,OH,Female,High,Email,Clothing,Jeans,Levis,501 Original,84.0,60.0,2.0,0.84,169.0,8.0,41.0,Credit Card,4.0
2023-01-19,18-25,NY,Male,Low,Affiliates,Home,Beds,Tempur-Pedic,Contour Elite,2055.0,1700.0,1.0,1.71,2055.0,19.0,336.0,Debit Card,5.0
2023-01-19,46-55,NY,Male,High,Email,Beauty,Skincare,Neutrogena,Oil-Free Acne Wash,20.0,15.0,4.0,1.74,81.0,10.0,12.0,Digital Wallet,4.0
2023-01-19,26-35,CA,Male,Low,App,Beauty,Makeup,Maybelline,Fit Me Foundation,20.0,15.0,3.0,1.51,59.0,4.0,10.0,Debit Card,4.0
2023-01-19,26-35,CA,Female,Low,App,Home,Furniture,IKEA,Kallax Shelf,82.0,60.0,1.0,1.5,82.0,12.0,10.0,Debit Card,5.0
2023-01-19,36-45,CA,Male,Middle,Organic,Home,Furniture,IKEA,Billy Bookcase,138.0,100.0,2.0,1.88,276.0,22.0,54.0,Credit Card,6.0
2023-01-19,56-65,IL,Male,Low,Organic,Clothing,T-Shirts,Nike,Pro,39.0,30.0,5.0,0.61,196.0,12.0,34.0,Credit Card,6.0
2023-01-19,18-25,CA,Female,Middle,Affiliates,Beauty,Skincare,Neutrogena,Hydro Boost Gel,25.0,20.0,1.0,1.46,25.0,3.0,2.0,Credit Card,2.0
2023-01-19,56-65,NY,Male,Middle,Organic,Clothing,T-Shirts,Nike,Sportswear,42.0,25.0,4.0,1.57,167.0,12.0,55.0,BNPL,5.0
2023-01-19,36-45,IL,Male,Middle,Affiliates,Home,Furniture,IKEA,Billy Bookcase,142.0,100.0,2.0,1.82,284.0,26.0,58.0,Digital Wallet,7.0
2023-01-19,46-55,CA,Other,Low,PPC,Clothing,Jeans,Wrangler,Authentics,50.0,30.0,3.0,0.78,149.0,7.0,52.0,Credit Card,4.0
2023-01-19,56-65,PA,Female,High,Organic,Clothing,Jeans,Levis,501 Original,80.0,60.0,1.0,1.19,80.0,7.0,13.0,Debit Card,4.0
2023-01-19,18-25,MI,Male,Low,PPC,Beauty,Makeup,Maybelline,Fit Me Foundation,23.0,15.0,1.0,0.56,23.0,7.0,1.0,Digital Wallet,5.0
2023-01-19,26-35,NY,Male,Low,Others,Clothing,T-Shirts,Adidas,Performance,61.0,45.0,3.0,1.94,182.0,11.0,37.0,Digital Wallet,6.0
2023-01-19,26-35,MI,Female,Middle,Email,Clothing,T-Shirts,Adidas,Essentials,47.0,35.0,2.0,1.68,94.0,9.0,15.0,Debit Card,5.0
2023-01-19,18-25,NC,Other,Low,App,Beauty,Skincare,Neutrogena,Rapid Wrinkle Repair,33.0,20.0,3.0,1.63,100.0,10.0,30.0,Debit Card,6.0
2023-01-19,36-45,FL,Male,Middle,Others,Beauty,Makeup,Revlon,ColorStay Lipstick,24.0,15.0,2.0,1.11,48.0,6.0,12.0,Digital Wallet,2.0
2023-01-19,26-35,IL,Female,High,Organic,Beauty,Makeup,Revlon,PhotoReady Concealer,18.0,12.0,6.0,1.3,107.0,10.0,25.0,Debit Card,6.0
2023-01-19,66+,NY,Female,Low,Email,Clothing,T-Shirts,Nike,Sportswear,40.0,25.0,2.0,1.04,80.0,9.0,20.0,Debit Card,5.0
2023-01-19,56-65,TX,Female,High,Organic,Electronics,Smartphones,Apple,iPhone SE,610.0,400.0,2.0,1.86,1220.0,14.0,406.0,Debit Card,4.0
2023-01-19,18-25,OH,Male,Low,Email,Home,Furniture,IKEA,Billy Bookcase,119.0,100.0,1.0,1.03,119.0,15.0,4.0,BNPL,5.0
2023-01-19,26-35,IL,Male,Low,App,Beauty,Makeup,Maybelline,Fit Me Foundation,21.0,15.0,3.0,1.21,62.0,8.0,9.0,Credit Card,5.0
2023-01-19,26-35,CA,Female,Low,Email,Beauty,Makeup,Maybelline,Fit Me Foundation,22.0,15.0,6.0,1.17,130.0,6.0,35.0,Credit Card,4.0
