TransactionDate,CustomerAgeBucket,State,CustomerGender,CustomerIncomeGroup,MarketChannel,ProductCategory,ProductSubCategory,ProductBrand,ProductName,UnitCost,ProductCost,NumberOfUnits,DiscountRate,TotalCost,ShippingCost,Profit,PaymentMethod,DeliveryTime
2022-12-30,36-45,OH,Other,High,PPC,Beauty,Makeup,Maybelline,Fit Me Foundation,14.0,15.0,7.0,27.0,97.0,11.0,-19.0,Credit Card,6.0
2022-12-30,18-25,PA,Female,Middle,App,Home,Beds,Tempur-Pedic,Contour Elite,1764.0,1700.0,3.0,12.0,5292.0,41.0,150.0,Credit Card,5.0
2022-12-30,36-45,CA,Male,Middle,Organic,Electronics,Smartphones,Apple,iPhone 15,954.0,800.0,4.0,16.0,3815.0,25.0,590.0,Digital Wallet,5.0
2022-12-30,66+,NY,Female,Middle,Affiliates,Beauty,Makeup,Maybelline,Fit Me Foundation,16.0,15.0,7.0,24.0,112.0,13.0,-6.0,Digital Wallet,6.0
2022-12-30,36-45,IL,Other,Middle,Email,Home,Beds,Tempur-Pedic,Cloud Supreme,1976.0,1800.0,3.0,9.0,5928.0,42.0,486.0,Debit Card,6.0
2022-12-30,46-55,TX,Other,Middle,Organic,Home,Furniture,IKEA,Billy Bookcase,131.0,100.0,3.0,10.0,394.0,34.0,60.0,Credit Card,5.0
2022-12-30,26-35,FL,Male,Middle,Others,Electronics,Smartphones,Apple,iPhone SE,527.0,400.0,3.0,14.0,1581.0,21.0,360.0,Credit Card,4.0
2022-12-30,26-35,GA,Other,Low,Email,Electronics,Laptops,Apple Laptop,MacBook Pro M2,1310.0,1200.0,3.0,13.0,3929.0,27.0,302.0,Digital Wallet,5.0
2022-12-30,18-25,TX,Other,Middle,App,Electronics,Smartphones,Apple,iPhone SE,579.0,400.0,3.0,12.0,1736.0,20.0,516.0,Credit Card,6.0
2022-12-30,46-55,NY,Other,Low,Email,Clothing,Jeans,Levis,Slim Fit,47.0,50.0,3.0,29.0,140.0,13.0,-23.0,Digital Wallet,4.0
2022-12-30,46-55,GA,Other,High,App,Clothing,Jeans,Wrangler,Authentics,40.0,30.0,1.0,23.0,40.0,7.0,3.0,Credit Card,3.0
2022-12-30,26-35,CA,Male,High,Affiliates,Home,Furniture,IKEA,Billy Bookcase,192.0,100.0,3.0,9.0,575.0,32.0,243.0,Digital Wallet,5.0
2022-12-30,66+,CA,Other,Middle,Others,Home,Beds,Tempur-Pedic,Cloud Supreme,1956.0,1800.0,8.0,11.0,15648.0,105.0,1143.0,Credit Card,7.0
2022-12-30,56-65,OH,Male,Middle,App,Home,Beds,Serta,Perfect Sleeper,905.0,750.0,3.0,10.0,2715.0,40.0,425.0,Debit Card,5.0
2022-12-30,56-65,IL,Other,Low,Others,Beauty,Skincare,Neutrogena,Rapid Wrinkle Repair,18.0,20.0,4.0,27.0,73.0,11.0,-18.0,Debit Card,9.0
2022-12-30,56-65,OH,Female,Low,Email,Home,Furniture,IKEA,Kallax Shelf,60.0,60.0,1.0,12.0,60.0,21.0,-21.0,Credit Card,6.0
2022-12-30,18-25,NY,Male,High,Others,Home,Furniture,Ashley Furniture,Sofa,502.0,300.0,1.0,5.0,502.0,23.0,179.0,Digital Wallet,6.0
2022-12-30,26-35,TX,Female,High,App,Electronics,Smartphones,Samsung,Galaxy S21,633.0,500.0,1.0,17.0,633.0,13.0,120.0,Debit Card,4.0
2022-12-30,66+,NY,Male,Middle,App,Beauty,Skincare,Neutrogena,Hydro Boost Gel,13.0,20.0,4.0,29.0,52.0,12.0,-40.0,BNPL,6.0
2022-12-30,46-55,MI,Male,Middle,Email,Electronics,Smartphones,Apple,iPhone SE,531.0,400.0,1.0,12.0,531.0,15.0,116.0,Credit Card,4.0
2022-12-30,46-55,CA,Male,Low,Others,Clothing,T-Shirts,Adidas,Performance,65.0,45.0,1.0,21.0,65.0,6.0,15.0,Debit Card,2.0
2022-12-30,36-45,CA,Other,Low,Email,Clothing,T-Shirts,Adidas,Performance,47.0,45.0,7.0,28.0,329.0,12.0,2.0,Credit Card,7.0
2022-12-30,46-55,TX,Female,Middle,Affiliates,Beauty,Makeup,Maybelline,Fit Me Foundation,15.0,15.0,3.0,25.0,46.0,8.0,-7.0,Debit Card,5.0
2022-12-30,56-65,IL,Female,Low,Organic,Electronics,Smartphones,Samsung,Galaxy Z Fold 5,1569.0,1500.0,4.0,12.0,6276.0,29.0,247.0,Digital Wallet,4.0
2022-12-30,26-35,TX,Female,Middle,Email,Electronics,Smartphones,Samsung,Galaxy S21,556.0,500.0,1.0,21.0,556.0,13.0,43.0,BNPL,5.0
2022-12-30,36-45,MI,Male,Middle,PPC,Beauty,Makeup,Maybelline,Fit Me Foundation,14.0,15.0,7.0,25.0,99.0,13.0,-18.0,Credit Card,6.0
2022-12-30,26-35,FL,Other,High,Others,Home,Furniture,Ashley Furniture,Dining Table,267.0,200.0,1.0,11.0,267.0,21.0,46.0,Digital Wallet,5.0
2022-12-30,56-65,PA,Female,High,PPC,Beauty,Skincare,Neutrogena,Hydro Boost Gel,21.0,20.0,1.0,27.0,21.0,9.0,-7.0,Debit Card,4.0
2022-12-30,56-65,NC,Male,High,Organic,Home,Furniture,IKEA,Kallax Shelf,61.0,60.0,1.0,14.0,61.0,24.0,-23.0,Credit Card,6.0
2022-12-30,66+,TX,Female,Middle,Others,Home,Beds,Serta,iComfort,2258.0,1900.0,1.0,8.0,2258.0,23.0,335.0,Credit Card,6.0
2022-12-30,36-45,OH,Other,Middle,Others,Electronics,Laptops,Dell,XPS,1475.0,1300.0,3.0,10.0,4426.0,29.0,497.0,Credit Card,6.0
2022-12-30,26-35,GA,Male,High,PPC,Electronics,Laptops,Apple Laptop,MacBook Air M2,1208.0,1000.0,1.0,12.0,1208.0,16.0,191.0,Digital Wallet,6.0
2022-12-30,26-35,FL,Male,Middle,Affiliates,Electronics,Smartphones,Samsung,Galaxy Z Fold 5,1560.0,1500.0,4.0,16.0,6239.0,28.0,211.0,Debit Card,5.0
2022-12-30,36-45,CA,Male,Middle,Affiliates,Home,Furniture,IKEA,Billy Bookcase,113.0,100.0,3.0,10.0,340.0,32.0,8.0,Credit Card,7.0
2022-12-30,36-45,MI,Female,Low,App,Home,Furniture,IKEA,Billy Bookcase,131.0,100.0,3.0,13.0,392.0,36.0,55.0,Credit Card,6.0
2022-12-30,26-35,MI,Male,Low,Email,Electronics,Laptops,Apple Laptop,MacBook Air M1,863.0,900.0,1.0,19.0,863.0,20.0,-57.0,Debit Card,4.0
2022-12-30,56-65,NC,Other,Middle,PPC,Clothing,T-Shirts,Nike,Pro,44.0,30.0,3.0,22.0,133.0,13.0,29.0,Digital Wallet,5.0
2022-12-30,26-35,CA,Female,High,Others,Home,Furniture,IKEA,Kallax Shelf,80.0,60.0,1.0,13.0,80.0,18.0,2.0,Debit Card,4.0
2022-12-30,26-35,NC,Other,Low,Organic,Electronics,Laptops,HP,Envy,800.0,700.0,1.0,14.0,800.0,21.0,79.0,Digital Wallet,5.0
2022-12-30,26-35,TX,Male,High,App,Electronics,Laptops,Apple Laptop,MacBook Pro M2,1348.0,1200.0,3.0,10.0,4043.0,28.0,415.0,BNPL,5.0
2022-12-30,36-45,CA,Other,Middle,Affiliates,Electronics,Laptops,Apple Laptop,MacBook Pro M3,1536.0,1500.0,1.0,15.0,1536.0,15.0,21.0,BNPL,2.0
2022-12-30,36-45,TX,Other,Middle,Email,Beauty,Skincare,Neutrogena,Hydro Boost Gel,22.0,20.0,3.0,26.0,67.0,8.0,-1.0,Credit Card,4.0
2022-12-30,56-65,NY,Other,Middle,App,Clothing,T-Shirts,Adidas,Performance,49.0,45.0,3.0,27.0,147.0,12.0,-0.0,Digital Wallet,6.0
2022-12-30,26-35,IL,Male,Low,Email,Clothing,Jeans,Wrangler,Authentics,36.0,30.0,1.0,25.0,36.0,10.0,-4.0,BNPL,4.0
2022-12-30,56-65,NY,Female,Middle,Organic,Clothing,Jeans,Wrangler,Regular Fit,41.0,35.0,4.0,33.0,162.0,15.0,7.0,Debit Card,5.0
2022-12-30,56-65,NY,Female,High,Organic,Beauty,Makeup,Maybelline,Lash Sensational Mascara,14.0,10.0,4.0,26.0,58.0,12.0,6.0,Debit Card,5.0
2022-12-30,18-25,CA,Male,High,Affiliates,Home,Beds,Tempur-Pedic,Cloud Supreme,2006.0,1800.0,3.0,9.0,6017.0,38.0,579.0,Digital Wallet,5.0
